"id","active","create_uid/id","create_date","ddr","date","description","img","write_uid/id","write_date","marca","name","offer","points","price","shop","socket","status","tested","type"
"__export__.esential_task_1","True","base.user_root","2018-05-27 20:59:12","DDR3","2018-03-20"," Con hasta un 100% más de rendimiento que las tarjetas de la serie anterior y un espectacular desempeño gráfico en videojuegos y realidad virtual, llegan a nosotros las GTX 1070, las joyas de la corona de las tarjetas gráficas. La serie 70 es tradicionalmente la mejor serie en cuanto a relación calidad/precio.","https://thumb.pccomponentes.com/w-530-530/articles/11/110470/asus-dual-geforce-gtx-1070-oc-8gb-gddr5.jpg","base.user_root","2018-05-27 20:59:12","Nvidia","Asus Dual GeForce GTX 1070 OC 8GB GDDR5","True","11118","419.0","1","1051","100","True","Grafica"
"__export__.esential_task_2","True","base.user_root","2018-05-27 20:59:12","DDR3","2018-03-07","La nueva hornada de procesadores Intel estrena socket o zócalo, pasando de los 1150 pines de la generación Haswell a los 2011-3 de este i7 6850K de la generación Broadwell.","https://thumb.pccomponentes.com/w-530-530/articles/10/100548/intel-i7-6700k-4-0ghz-box.jpg","base.user_root","2018-05-27 20:59:12","Intel","Intel i7-6850K 3.6Ghz","True","141241","359.0","2","1051","100","True","Procesador"
"__export__.esential_task_3","True","base.user_root","2018-05-27 20:59:12","DDR4","2018-03-20","La serie RGB DDR4 fue diseñada utilizando una tecnología de patente para permitir impresionantes efectos de iluminación RGB sin tener que usar cables, para una integración limpia y sencilla en su sistema. Utilice CORSAIR LINK para programar fácilmente los efectos de iluminación, controlar la temperatura de la memoria, los tiempos y la frecuencia, así como coordinar con otros productos CORSAIR.","https://thumb.pccomponentes.com/w-530-530/articles/12/128329/1283290.jpg","base.user_root","2018-05-27 21:04:11","Corsair","Corsair Vengeance RGB DDR4 3600 PC4-28800 32GB 4x8GB CL18","False","345321","479.0","1","1051","100","True","Ram"
"__export__.esential_task_4","True","base.user_root","2018-05-27 20:59:12","DDR3","2018-03-29"," Velocidad de lectura/escritura secuencial de hasta 530/510 MB/s en cualquier tipo de archivo
Velocidad de lectura/escritura aleatoria de hasta 92k /83 k en cualquier tipo de archivo
Eficiencia energética 90 veces superior a la de un disco duro tradicional ","https://images-na.ssl-images-amazon.com/images/I/811xD57h1WL._SL1500_.jpg","base.user_root","2018-05-27 20:59:12","Crucial","Crucial CT525MX300SSD1 MX300","True","1241241","129.6","1","1051","100","True","SSD"
"__export__.esential_task_5","True","base.user_root","2018-05-27 20:59:12","DDR3","2018-03-23","Samsung UE55MU6125 es el verdadero televisor UHD 4K. Disfrute de todo el realismo hasta el más mínimo detalle con 4 veces la resolución del televisor Full HD. Con Ultra HD, su contenido será aún más agradable gracias a colores y brillo increíblemente realistas.","https://img.pccomponentes.com/articles/14/147066/b1.jpg","base.user_root","2018-05-27 20:59:12","Samsung","Samsung UE55MU6125 55"" LED UltraHD 4K","True","1321415","599.0","1","1051","100","True","Monitor"
"__export__.esential_task_6","True","base.user_root","2018-05-27 20:59:12","DDR3","2018-03-23","Samsung UE55MU6125 es el verdadero televisor UHD 4K. Disfrute de todo el realismo hasta el más mínimo detalle con 4 veces la resolución del televisor Full HD. Con Ultra HD, su contenido será aún más agradable gracias a colores y brillo increíblemente realistas.","https://img.pccomponentes.com/articles/14/147066/b1.jpg","base.user_root","2018-05-27 20:59:12","Samsung","Samsung UE55MU6125 55"" LED UltraHD 4K","False","1321415","509.15","3","1051","80","True","Monitor"
"__export__.esential_task_7","True","base.user_root","2018-05-27 20:59:12","DDR3","2018-03-23","Samsung UE55MU6125 es el verdadero televisor UHD 4K. Disfrute de todo el realismo hasta el más mínimo detalle con 4 veces la resolución del televisor Full HD. Con Ultra HD, su contenido será aún más agradable gracias a colores y brillo increíblemente realistas.","https://img.pccomponentes.com/articles/14/147066/b1.jpg","base.user_root","2018-05-27 20:59:12","Samsung","Samsung UE55MU6125 55"" LED UltraHD 4K","False","1321415","419.3","2","1051","60","True","Monitor"
"__export__.esential_task_8","True","base.user_root","2018-05-27 20:59:12","DDR3","2018-03-23","Samsung UE55MU6125 es el verdadero televisor UHD 4K. Disfrute de todo el realismo hasta el más mínimo detalle con 4 veces la resolución del televisor Full HD. Con Ultra HD, su contenido será aún más agradable gracias a colores y brillo increíblemente realistas.","https://img.pccomponentes.com/articles/14/147066/b1.jpg","base.user_root","2018-05-27 20:59:12","Samsung","Samsung UE55MU6125 55"" LED UltraHD 4K","False","1321415","299.5","3","1051","40","True","Monitor"
"__export__.esential_task_9","True","base.user_root","2018-05-27 20:59:12","DDR3","2018-03-23","Samsung UE55MU6125 es el verdadero televisor UHD 4K. Disfrute de todo el realismo hasta el más mínimo detalle con 4 veces la resolución del televisor Full HD. Con Ultra HD, su contenido será aún más agradable gracias a colores y brillo increíblemente realistas.","https://img.pccomponentes.com/articles/14/147066/b1.jpg","base.user_root","2018-05-27 20:59:12","Samsung","Samsung UE55MU6125 55"" LED UltraHD 4K","False","1321415","179.7","3","1051","20","True","Monitor"
"__export__.esential_task_28","True","base.user_root","2018-05-27 21:01:24","DDR4","2018-05-27","GA-H110M-S2H es la nueva placa de Gigabyte que viene a cubrir la gama económica de esta marca. Un producto que nos ofrece una multitud de opciones y conexiones muy competitivas para el precio que tiene.","https://thumb.pccomponentes.com/w-530-530/articles/9/91283/gigabyte-ga-h110m-s2h-1.jpg","base.user_root","2018-05-27 21:23:49","Gigabyte","Gigabyte GA-H110M-S2H","False","1234251","50.99","1","1051","100","True","PlacaBase"
